# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 197
#
# Samples: 2K of event 'cycles:ppp'
# Event count (approx.): 34805110900
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................
#
     0.00%  Service Thread   libc-2.17.so         [.] __GI___mempcpy
     0.00%  Service Thread   libjvm.so            [.] Symbol::as_C_string
     0.00%  Service Thread   [unknown]            [k] 0xffffffffa158ca5b
     0.00%  Service Thread   libc-2.17.so         [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.00%  Service Thread   libjvm.so            [.] jvmti_GetMethodDeclaringClass
     0.00%  Service Thread   libc-2.17.so         [.] __strcpy_sse2_unaligned
     0.00%  Service Thread   libjvm.so            [.] jvmti_Deallocate
     0.00%  Service Thread   libjvm.so            [.] ThreadShadow::clear_pending_exception
     0.00%  Service Thread   libc-2.17.so         [.] _int_free
     0.00%  Service Thread   libc-2.17.so         [.] free
     0.00%  C1 CompilerThre  libjvm.so            [.] ciMethodData::load_data
     0.00%  C1 CompilerThre  [unknown]            [k] 0xffffffffa1019068
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::add_use
     0.00%  Service Thread   libjvm.so            [.] PreserveExceptionMark::~PreserveExceptionMark
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_late
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa0fc5ec0
     0.00%  java             [unknown]            [k] 0xffffffffa14a77dd
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_early
     0.00%  C2 CompilerThre  libjvm.so            [.] Matcher::xform
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks_post
     0.00%  C2 CompilerThre  libjvm.so            [.] Type::cmp
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa1195377
     0.00%  java             libjvm.so            [.] InstanceKlass::link_methods
     0.00%  java             [unknown]            [k] 0xffffffffa0fb2b06
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::is_dominator
     0.00%  java             [unknown]            [k] 0xffffffffa11a667b
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::sort
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa0fc1050
     0.00%  java             [unknown]            [k] 0xffffffffa0fe0cc9
     0.00%  java             [unknown]            [k] 0xffffffffa0ff683a
     0.00%  C1 CompilerThre  libjvm.so            [.] CodeBlob::allocation_size
     0.00%  C2 CompilerThre  libjvm.so            [.] vmClasses::box_klass_type
     0.00%  java             libjvm.so            [.] Assembler::emit_operand_helper
     0.00%  java             libjvm.so            [.] Assembler::fxrstor
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::Dominators
     0.00%  Service Thread   libc-2.17.so         [.] _int_malloc
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::set_req_X
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::insert_copies
     0.00%  java             [unknown]            [k] 0xffffffffa158c3fa
     0.00%  java             libjvm.so            [.] java_lang_Class::create_mirror
     0.00%  java             libjvm.so            [.] TemplateTable::prepare_invoke
