# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 16
#
# Samples: 284  of event 'cycles:ppp'
# Event count (approx.): 1986902148
#
# Overhead  Command          Shared Object       Symbol                                                   
# ........  ...............  ..................  .........................................................
#
     0.04%  java             [unknown]           [k] 0xffffffffa739608e
     0.04%  java             libjvm.so           [.] MemAllocator::allocate
     0.04%  C1 CompilerThre  libjvm.so           [.] LinearScan::compute_local_live_sets
     0.04%  C1 CompilerThre  libjvm.so           [.] JavaFrameAnchor::make_walkable
     0.04%  java             libjvm.so           [.] OopStorage::allocate
     0.04%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.04%  C1 CompilerThre  libjvm.so           [.] UseCountComputer::visit
     0.04%  C1 CompilerThre  libjvm.so           [.] IntervalWalker::walk_to
     0.04%  C1 CompilerThre  libpthread-2.17.so  [.] pthread_mutex_trylock
     0.04%  java             libjvm.so           [.] TypeArrayKlass::multi_allocate
     0.04%  C1 CompilerThre  libjvm.so           [.] ValueNumberingVisitor::do_ProfileCall
     0.04%  java             libjvm.so           [.] JavaCalls::call_helper
     0.04%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     0.04%  java             [unknown]           [k] 0xffffffffa6df5c71
     0.04%  java             libjvm.so           [.] UNICODE::utf8_length<signed char>
     0.04%  C2 CompilerThre  [unknown]           [k] 0xffffffffa6dc0d30
     0.04%  C1 CompilerThre  libjvm.so           [.] RelocIterator::advance_over_prefix
     0.04%  C1 CompilerThre  [unknown]           [k] 0xffffffffa6dad930
     0.04%  C1 CompilerThre  libjvm.so           [.] ValueMap::kill_memory
     0.04%  C2 CompilerThre  libjvm.so           [.] Node::Node
     0.03%  java             libjvm.so           [.] InterpreterRuntime::resolve_from_cache
     0.03%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::is_instance_klass
     0.03%  C2 CompilerThre  [unknown]           [k] 0xffffffffa6e3ecbf
     0.03%  java             libjvm.so           [.] ObjArrayAllocator::initialize
     0.03%  C1 CompilerThre  libjvm.so           [.] LinearScanWalker::split_before_usage
     0.03%  C2 CompilerThre  [unknown]           [k] 0xffffffffa6e191c9
     0.03%  java             libjvm.so           [.] SharedRuntime::generate_i2c2i_adapters
     0.03%  C1 CompilerThre  libjvm.so           [.] ciMetadata::is_classless
     0.03%  C1 CompilerThre  libjvm.so           [.] BarrierSetC1::load_at
     0.03%  C1 CompilerThre  libjvm.so           [.] ValueStack::values_do
     0.03%  C1 CompilerThre  libjvm.so           [.] MethodData::next_data
     0.03%  C1 CompilerThre  libjvm.so           [.] GenerateOopMap::merge_state_into_bb
     0.03%  java             libc-2.17.so        [.] __memset_sse2
     0.03%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::create_new_metadata
     0.03%  java             libjvm.so           [.] Rewriter::scan_method
     0.03%  java             [unknown]           [k] 0xffffffffa6f8e6e0
     0.03%  java             libjvm.so           [.] SignatureStream::next
     0.03%  Common-Cleaner   [unknown]           [k] 0xffffffffa738c4ef
     0.03%  java             libc-2.17.so        [.] memchr
     0.03%  java             libpthread-2.17.so  [.] pthread_mutex_unlock
     0.00%  perf             [unknown]           [k] 0xffffffffa6f980f0
     0.00%  perf             [unknown]           [k] 0xffffffffa7399d15
     0.00%  perf             [unknown]           [k] 0xffffffffa6dac8dd
     0.00%  perf             [unknown]           [k] 0xffffffffa6c6d5f8


#
# (Tip: To record every process run by a user: perf record -u <user>)
#
