# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 17
#
# Samples: 831  of event 'cycles:ppp'
# Event count (approx.): 1669426878
#
# Overhead  Command  Shared Object       Symbol                                                             
# ........  .......  ..................  ...................................................................
#
     0.07%  java     [unknown]           [k] 0xffffffffa0fbd936
     0.07%  java     perf-10747.map      [.] 0x00007f1949127295
     0.07%  java     [unknown]           [k] 0xffffffffa158c45a
     0.07%  java     [unknown]           [k] 0xffffffffc0819820
     0.07%  java     [unknown]           [k] 0xffffffffa158ba8c
     0.07%  java     libjvm.so           [.] Rewriter::scan_method
     0.07%  java     [unknown]           [k] 0xffffffffc0808065
     0.07%  java     ld-2.17.so          [.] strcmp
     0.07%  java     [unknown]           [k] 0xffffffffa1197db9
     0.07%  java     libjvm.so           [.] outputStream::do_vsnprintf
     0.07%  java     libjvm.so           [.] methodHandle::operator=
     0.07%  java     [unknown]           [k] 0xffffffffc081942c
     0.07%  java     libjvm.so           [.] printf_to_env
     0.07%  java     [unknown]           [k] 0xffffffffc080b9c0
     0.06%  java     [unknown]           [k] 0xffffffffa1195595
     0.06%  java     [unknown]           [k] 0xffffffffa0fbf29b
     0.06%  java     [unknown]           [k] 0xffffffffa1595e4a
     0.06%  java     libjvm.so           [.] SystemDictionary::resolve_instance_class_or_null
     0.06%  java     [unknown]           [k] 0xffffffffa0fb2d24
     0.06%  java     [unknown]           [k] 0xffffffffa104e60a
     0.06%  java     [unknown]           [k] 0xffffffffa0fab2f6
     0.06%  java     libjvm.so           [.] InstanceKlass::compute_secondary_supers
     0.05%  java     [unknown]           [k] 0xffffffffc0808284
     0.05%  java     libc-2.17.so        [.] _IO_default_xsputn
     0.05%  java     libjvm.so           [.] SystemDictionary::find_or_define_instance_class
     0.05%  java     hsdis-amd64.so      [.] OP_G
     0.05%  java     libjvm.so           [.] ClassPathZipEntry::open_stream
     0.05%  java     perf-10747.map      [.] 0x00007f194912fabe
     0.05%  java     libjvm.so           [.] frame::adjust_unextended_sp
     0.05%  java     libjvm.so           [.] SignatureIterator::parse_type
     0.04%  java     libjvm.so           [.] oopDesc::obj_field_put
     0.04%  java     [unknown]           [k] 0xffffffffa15893fc
     0.04%  java     libjvm.so           [.] ClassFileParser::parse_classfile_attributes
     0.04%  java     [unknown]           [k] 0xffffffffa106eaf5
     0.04%  java     [unknown]           [k] 0xffffffffa1595e86
     0.04%  java     [unknown]           [k] 0xffffffffa0fbd2b6
     0.04%  java     [unknown]           [k] 0xffffffffa106be15
     0.04%  java     perf-10747.map      [.] 0x00007f194912f9c0
     0.04%  java     [unknown]           [k] 0xffffffffa0fbe4fb
     0.04%  java     [unknown]           [k] 0xffffffffc07e3d80
     0.04%  java     [unknown]           [k] 0xffffffffa158b79a
     0.04%  java     libjvm.so           [.] MemTracker::Tracker::record
     0.04%  java     perf-10747.map      [.] 0x00007f1949128973
     0.04%  java     perf-10747.map      [.] 0x00007f1948e00253
     0.04%  java     [unknown]           [k] 0xffffffffa0f3ea90
     0.04%  java     libjvm.so           [.] InstanceKlass::uncached_lookup_method
     0.04%  java     libjvm.so           [.] ciTypeFlow::JsrSet::JsrSet
     0.04%  java     [unknown]           [k] 0xffffffffa104f2d0
     0.04%  java     [unknown]           [k] 0xffffffffa104e4bb
     0.04%  java     libjvm.so           [.] Parse::array_addressing
     0.04%  java     libjvm.so           [.] InstanceKlass::allocate_instance_klass
     0.04%  java     [unknown]           [k] 0xffffffffa1595f0e
     0.04%  java     libjvm.so           [.] AddPNode::Ideal_base_and_offset
     0.04%  java     [unknown]           [k] 0xffffffffa158c750
     0.04%  java     perf-10747.map      [.] 0x00007f194912f9ff
     0.04%  java     libjvm.so           [.] ciEnv::get_klass_by_index_impl
     0.04%  java     libjvm.so           [.] IdealLoopTree::split_outer_loop
     0.04%  java     libjvm.so           [.] IfFalseNode::Opcode
     0.04%  java     [unknown]           [k] 0xffffffffa13c6c45
     0.04%  java     libjvm.so           [.] PhaseIdealLoop::loop_predication_impl
     0.04%  java     perf-10747.map      [.] 0x00007f1948e0291a
     0.04%  java     perf-10747.map      [.] 0x00007f194912f9b6
